,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,SEX,Display Value,Numeric,Low,High,Comments
125,SA_0000001807,PUBLISHED,2016,AMR,PRY,FMLE,128.7,,,,
126,SA_0000001807,PUBLISHED,2016,AMR,KNA,FMLE,No data,,,,
127,SA_0000001807,PUBLISHED,2016,AMR,USA,FMLE,133.9,,,,
128,SA_0000001807,PUBLISHED,2016,AMR,VEN,FMLE,127.5,,,,
129,SA_0000001807,PUBLISHED,2016,AMR,MEX,MLE,101.6,,,,
130,SA_0000001807,PUBLISHED,2016,AMR,PRY,MLE,167,,,,
131,SA_0000001807,PUBLISHED,2016,AMR,DOM,FMLE,127.5,,,,
132,SA_0000001807,PUBLISHED,2016,AMR,ECU,FMLE,123.9,,,,
133,SA_0000001807,PUBLISHED,2016,AMR,LCA,FMLE,140.4,,,,
134,SA_0000001807,PUBLISHED,2016,AMR,TTO,FMLE,133.5,,,,
135,SA_0000001807,PUBLISHED,2016,AMR,CAN,MLE,171,,,,
136,SA_0000001807,PUBLISHED,2016,AMR,CHL,MLE,194.3,,,,
137,SA_0000001807,PUBLISHED,2016,AMR,BRB,MLE,252,,,,
138,SA_0000001807,PUBLISHED,2016,AMR,CRI,MLE,164.7,,,,
139,SA_0000001807,PUBLISHED,2016,AMR,DMA,MLE,No data,,,,
140,SA_0000001807,PUBLISHED,2016,AMR,ARG,MLE,198.5,,,,
141,SA_0000001807,PUBLISHED,2016,AMR,CAN,FMLE,132.4,,,,
142,SA_0000001807,PUBLISHED,2016,AMR,CUB,FMLE,138.2,,,,
143,SA_0000001807,PUBLISHED,2016,AMR,GRD,FMLE,169.1,,,,
144,SA_0000001807,PUBLISHED,2016,AMR,GUY,FMLE,137.5,,,,
145,SA_0000001807,PUBLISHED,2016,AMR,COL,FMLE,147.4,,,,
146,SA_0000001807,PUBLISHED,2016,AMR,BHS,MLE,216.4,,,,
147,SA_0000001807,PUBLISHED,2016,AMR,COL,MLE,180,,,,
148,SA_0000001807,PUBLISHED,2016,AMR,HND,MLE,132.1,,,,
149,SA_0000001807,PUBLISHED,2016,AMR,KNA,MLE,No data,,,,
150,SA_0000001807,PUBLISHED,2016,AMR,VEN,MLE,165.3,,,,
151,SA_0000001807,PUBLISHED,2016,AMR,ARG,FMLE,136.7,,,,
152,SA_0000001807,PUBLISHED,2016,AMR,CHL,FMLE,136.5,,,,
153,SA_0000001807,PUBLISHED,2016,AMR,HTI,FMLE,124.8,,,,
154,SA_0000001807,PUBLISHED,2016,AMR,PER,FMLE,130.8,,,,
155,SA_0000001807,PUBLISHED,2016,AMR,URY,FMLE,162.5,,,,
156,SA_0000001807,PUBLISHED,2016,AMR,ECU,MLE,129.4,,,,
157,SA_0000001807,PUBLISHED,2016,AMR,GRD,MLE,261.9,,,,
158,SA_0000001807,PUBLISHED,2016,AMR,TTO,MLE,197.4,,,,
159,SA_0000001807,PUBLISHED,2016,AMR,URY,MLE,277.5,,,,
160,SA_0000001807,PUBLISHED,2016,AMR,BRB,FMLE,165.6,,,,
161,SA_0000001807,PUBLISHED,2016,AMR,BOL,FMLE,130.9,,,,
162,SA_0000001807,PUBLISHED,2016,AMR,HND,FMLE,126.3,,,,
163,SA_0000001807,PUBLISHED,2016,AMR,MEX,FMLE,92.3,,,,
164,SA_0000001807,PUBLISHED,2016,EMR,BHR,MLE,100.9,,,,
165,SA_0000001807,PUBLISHED,2016,EMR,LBN,MLE,150,,,,
