,GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,RESIDENCEAREATYPE,Display Value,Numeric,Low,High,Comments
204,FINPROTECTION_CATA_TOT_10_POP,FPKAZ2015,PUBLISHED,2015,EUR,KAZ,RUR,3.57,3.57,,,
205,FINPROTECTION_CATA_TOT_10_POP,FPKEN1997,PUBLISHED,1997,AFR,KEN,TOTL,5.92,5.92,,,
206,FINPROTECTION_CATA_TOT_10_POP,FPKEN1997,PUBLISHED,1997,AFR,KEN,URB,7.45,7.45,,,
207,FINPROTECTION_CATA_TOT_10_POP,FPKEN2005,PUBLISHED,2005,AFR,KEN,RUR,5.88,5.88,,,
208,FINPROTECTION_CATA_TOT_10_POP,FPKEN2015,PUBLISHED,2015,AFR,KEN,TOTL,5.43,5.43,,,
209,FINPROTECTION_CATA_TOT_10_POP,FPKGZ2009,PUBLISHED,2009,EUR,KGZ,URB,2.87,2.87,,,
210,FINPROTECTION_CATA_TOT_10_POP,FPKGZ2010,PUBLISHED,2010,EUR,KGZ,RUR,4.15,4.15,,,
211,FINPROTECTION_CATA_TOT_10_POP,FPKGZ2011,PUBLISHED,2011,EUR,KGZ,TOTL,3.54,3.54,,,
212,FINPROTECTION_CATA_TOT_10_POP,FPKGZ2011,PUBLISHED,2011,EUR,KGZ,URB,3.35,3.35,,,
213,FINPROTECTION_CATA_TOT_10_POP,FPKGZ2012,PUBLISHED,2012,EUR,KGZ,RUR,2.14,2.14,,,
214,FINPROTECTION_CATA_TOT_10_POP,FPKGZ2013,PUBLISHED,2013,EUR,KGZ,TOTL,2.6,2.6,,,
215,FINPROTECTION_CATA_TOT_10_POP,FPKHM2014,PUBLISHED,2014,WPR,KHM,URB,8.11,8.11,,,
216,FINPROTECTION_CATA_TOT_10_POP,FPKOR2001,PUBLISHED,2001,WPR,KOR,URB,12.35,12.35,,,
217,FINPROTECTION_CATA_TOT_10_POP,FPKOR2003,PUBLISHED,2003,WPR,KOR,TOTL,14.05,14.05,,,
218,FINPROTECTION_CATA_TOT_10_POP,FPKOR2008,PUBLISHED,2008,WPR,KOR,URB,17.35,17.35,,,
219,FINPROTECTION_CATA_TOT_10_POP,FPKOR2009,PUBLISHED,2009,WPR,KOR,RUR,21.66,21.66,,,
220,FINPROTECTION_CATA_TOT_10_POP,FPKOR2010,PUBLISHED,2010,WPR,KOR,TOTL,20.12,20.12,,,
221,FINPROTECTION_CATA_TOT_10_POP,FPKOR2010,PUBLISHED,2010,WPR,KOR,URB,19.87,19.87,,,
222,FINPROTECTION_CATA_TOT_10_POP,FPKOR2011,PUBLISHED,2011,WPR,KOR,RUR,20.1,20.1,,,
223,FINPROTECTION_CATA_TOT_10_POP,FPKOR2012,PUBLISHED,2012,WPR,KOR,TOTL,20.52,20.52,,,
224,FINPROTECTION_CATA_TOT_10_POP,FPLAO2007,PUBLISHED,2007,WPR,LAO,URB,3.33,3.33,,,
225,FINPROTECTION_CATA_TOT_10_POP,FPLKA1995,PUBLISHED,1995,SEAR,LKA,TOTL,4.91,4.91,,,
226,FINPROTECTION_CATA_TOT_10_POP,FPLTU1998,PUBLISHED,1998,EUR,LTU,URB,7.86,7.86,,,
227,FINPROTECTION_CATA_TOT_10_POP,FPLTU1999,PUBLISHED,1999,EUR,LTU,RUR,7.96,7.96,,,
228,FINPROTECTION_CATA_TOT_10_POP,FPLTU2000,PUBLISHED,2000,EUR,LTU,TOTL,10.06,10.06,,,
229,FINPROTECTION_CATA_TOT_10_POP,FPLTU2000,PUBLISHED,2000,EUR,LTU,URB,10.16,10.16,,,
230,FINPROTECTION_CATA_TOT_10_POP,FPLTU2001,PUBLISHED,2001,EUR,LTU,RUR,10.59,10.59,,,
231,FINPROTECTION_CATA_TOT_10_POP,FPLTU2002,PUBLISHED,2002,EUR,LTU,TOTL,12.08,12.08,,,
232,FINPROTECTION_CATA_TOT_10_POP,FPLUX2010,PUBLISHED,2010,EUR,LUX,RUR,3.68,3.68,,,
233,FINPROTECTION_CATA_TOT_10_POP,FPLVA2000,PUBLISHED,2000,EUR,LVA,TOTL,11.69,11.69,,,
234,FINPROTECTION_CATA_TOT_10_POP,FPLVA2000,PUBLISHED,2000,EUR,LVA,URB,12.18,12.18,,,
235,FINPROTECTION_CATA_TOT_10_POP,FPLVA2002,PUBLISHED,2002,EUR,LVA,RUR,8.27,8.27,,,
236,FINPROTECTION_CATA_TOT_10_POP,FPLVA2003,PUBLISHED,2003,EUR,LVA,TOTL,9.66,9.66,,,
237,FINPROTECTION_CATA_TOT_10_POP,FPLVA2009,PUBLISHED,2009,EUR,LVA,URB,15.16,15.16,,,
238,FINPROTECTION_CATA_TOT_10_POP,FPMAR2000,PUBLISHED,2000,EMR,MAR,TOTL,11.5,11.5,,,
239,FINPROTECTION_CATA_TOT_10_POP,FPMAR2000,PUBLISHED,2000,EMR,MAR,URB,12.43,12.43,,,
240,FINPROTECTION_CATA_TOT_10_POP,FPMAR2006,PUBLISHED,2006,EMR,MAR,RUR,17.36,17.36,,,
241,FINPROTECTION_CATA_TOT_10_POP,FPMDA1999,PUBLISHED,1999,EUR,MDA,TOTL,7.44,7.44,,,
242,FINPROTECTION_CATA_TOT_10_POP,FPMDA2002,PUBLISHED,2002,EUR,MDA,URB,10.28,10.28,,,
243,FINPROTECTION_CATA_TOT_10_POP,FPMDA2003,PUBLISHED,2003,EUR,MDA,RUR,10.13,10.13,,,
244,FINPROTECTION_CATA_TOT_10_POP,FPMDA2004,PUBLISHED,2004,EUR,MDA,TOTL,9.44,9.44,,,
245,FINPROTECTION_CATA_TOT_10_POP,FPMDA2004,PUBLISHED,2004,EUR,MDA,URB,11.28,11.28,,,
246,FINPROTECTION_CATA_TOT_10_POP,FPMDA2005,PUBLISHED,2005,EUR,MDA,RUR,10.32,10.32,,,
247,FINPROTECTION_CATA_TOT_10_POP,FPMDA2006,PUBLISHED,2006,EUR,MDA,TOTL,15.06,15.06,,,
248,FINPROTECTION_CATA_TOT_10_POP,FPMDA2007,PUBLISHED,2007,EUR,MDA,RUR,13.59,13.59,,,
249,FINPROTECTION_CATA_TOT_10_POP,FPMDA2008,PUBLISHED,2008,EUR,MDA,TOTL,14.93,14.93,,,
250,FINPROTECTION_CATA_TOT_10_POP,FPMDA2011,PUBLISHED,2011,EUR,MDA,URB,14.5,14.5,,,
251,FINPROTECTION_CATA_TOT_10_POP,FPMDA2012,PUBLISHED,2012,EUR,MDA,RUR,18.05,18.05,,,
252,FINPROTECTION_CATA_TOT_10_POP,FPMDA2013,PUBLISHED,2013,EUR,MDA,TOTL,16.05,16.05,,,
253,FINPROTECTION_CATA_TOT_10_POP,FPMDA2013,PUBLISHED,2013,EUR,MDA,URB,14.97,14.97,,,
254,FINPROTECTION_CATA_TOT_10_POP,FPMDA2014,PUBLISHED,2014,EUR,MDA,RUR,14.54,14.54,,,
255,FINPROTECTION_CATA_TOT_10_POP,FPMDA2015,PUBLISHED,2015,EUR,MDA,TOTL,18.49,18.49,,,
256,FINPROTECTION_CATA_TOT_10_POP,FPMDA2016,PUBLISHED,2016,EUR,MDA,RUR,17.47,17.47,,,
257,FINPROTECTION_CATA_TOT_10_POP,FPMDG2001,PUBLISHED,2001,AFR,MDG,TOTL,1.01,1.01,,,
258,FINPROTECTION_CATA_TOT_10_POP,FPMDV2004,PUBLISHED,2004,SEAR,MDV,URB,6.85,6.85,,,
259,FINPROTECTION_CATA_TOT_10_POP,FPMDV2009,PUBLISHED,2009,SEAR,MDV,RUR,22.82,22.82,,,
260,FINPROTECTION_CATA_TOT_10_POP,FPMEX2008,PUBLISHED,2008,AMR,MEX,TOTL,3.59,3.59,,,
261,FINPROTECTION_CATA_TOT_10_POP,FPMEX2008,PUBLISHED,2008,AMR,MEX,URB,3.22,3.22,,,
262,FINPROTECTION_CATA_TOT_10_POP,FPMEX2010,PUBLISHED,2010,AMR,MEX,RUR,3.9,3.9,,,
263,FINPROTECTION_CATA_TOT_10_POP,FPMEX2012,PUBLISHED,2012,AMR,MEX,TOTL,2.51,2.51,,,
264,FINPROTECTION_CATA_TOT_10_POP,FPMEX2014,PUBLISHED,2014,AMR,MEX,RUR,3.76,3.76,,,
265,FINPROTECTION_CATA_TOT_10_POP,FPMEX2016,PUBLISHED,2016,AMR,MEX,TOTL,1.55,1.55,,,
266,FINPROTECTION_CATA_TOT_10_POP,FPMKD1998,PUBLISHED,1998,EUR,MKD,URB,1.59,1.59,,,
267,FINPROTECTION_CATA_TOT_10_POP,FPMKD1999,PUBLISHED,1999,EUR,MKD,RUR,1.22,1.22,,,
268,FINPROTECTION_CATA_TOT_10_POP,FPMKD2000,PUBLISHED,2000,EUR,MKD,TOTL,1.99,1.99,,,
269,FINPROTECTION_CATA_TOT_10_POP,FPMKD2000,PUBLISHED,2000,EUR,MKD,URB,1.67,1.67,,,
270,FINPROTECTION_CATA_TOT_10_POP,FPMKD2002,PUBLISHED,2002,EUR,MKD,RUR,7.71,7.71,,,
271,FINPROTECTION_CATA_TOT_10_POP,FPMKD2003,PUBLISHED,2003,EUR,MKD,TOTL,6.73,6.73,,,
272,FINPROTECTION_CATA_TOT_10_POP,FPMKD2005,PUBLISHED,2005,EUR,MKD,TOTL,7.06,7.06,,,
273,FINPROTECTION_CATA_TOT_10_POP,FPMLI1994,PUBLISHED,1994,AFR,MLI,URB,8.06,8.06,,,
274,FINPROTECTION_CATA_TOT_10_POP,FPMLI2000,PUBLISHED,2000,AFR,MLI,RUR,7.05,7.05,,,
275,FINPROTECTION_CATA_TOT_10_POP,FPMLI2001,PUBLISHED,2001,AFR,MLI,TOTL,3.58,3.58,,,
276,FINPROTECTION_CATA_TOT_10_POP,FPMLI2001,PUBLISHED,2001,AFR,MLI,URB,2.88,2.88,,,
277,FINPROTECTION_CATA_TOT_10_POP,FPMLI2009,PUBLISHED,2009,AFR,MLI,RUR,4.68,4.68,,,
278,FINPROTECTION_CATA_TOT_10_POP,FPMLI2011,PUBLISHED,2011,AFR,MLI,TOTL,2.86,2.86,,,
279,FINPROTECTION_CATA_TOT_10_POP,FPMLI2014,PUBLISHED,2014,AFR,MLI,TOTL,4.83,4.83,,,
280,FINPROTECTION_CATA_TOT_10_POP,FPMLT2010,PUBLISHED,2010,EUR,MLT,URB,15.8,15.8,,,
281,FINPROTECTION_CATA_TOT_10_POP,FPMMR2015,PUBLISHED,2015,SEAR,MMR,RUR,14.83,14.83,,,
282,FINPROTECTION_CATA_TOT_10_POP,FPMNE2005,PUBLISHED,2005,EUR,MNE,TOTL,8.57,8.57,,,
283,FINPROTECTION_CATA_TOT_10_POP,FPMNE2005,PUBLISHED,2005,EUR,MNE,URB,10.95,10.95,,,
284,FINPROTECTION_CATA_TOT_10_POP,FPMNE2006,PUBLISHED,2006,EUR,MNE,RUR,4.14,4.14,,,
285,FINPROTECTION_CATA_TOT_10_POP,FPMNE2007,PUBLISHED,2007,EUR,MNE,TOTL,7.64,7.64,,,
286,FINPROTECTION_CATA_TOT_10_POP,FPMNE2009,PUBLISHED,2009,EUR,MNE,TOTL,7.42,7.42,,,
287,FINPROTECTION_CATA_TOT_10_POP,FPMNE2012,PUBLISHED,2012,EUR,MNE,URB,7.77,7.77,,,
288,FINPROTECTION_CATA_TOT_10_POP,FPMNE2013,PUBLISHED,2013,EUR,MNE,RUR,8.38,8.38,,,
289,FINPROTECTION_CATA_TOT_10_POP,FPMNE2014,PUBLISHED,2014,EUR,MNE,TOTL,8.86,8.86,,,
290,FINPROTECTION_CATA_TOT_10_POP,FPMNE2014,PUBLISHED,2014,EUR,MNE,URB,9.6,9.6,,,
291,FINPROTECTION_CATA_TOT_10_POP,FPMNE2015,PUBLISHED,2015,EUR,MNE,RUR,11.51,11.51,,,
292,FINPROTECTION_CATA_TOT_10_POP,FPMNG2002,PUBLISHED,2002,WPR,MNG,TOTL,1.28,1.28,,,
293,FINPROTECTION_CATA_TOT_10_POP,FPMNG2014,PUBLISHED,2014,WPR,MNG,URB,1.25,1.25,,,
294,FINPROTECTION_CATA_TOT_10_POP,FPMOZ2002,PUBLISHED,2002,AFR,MOZ,RUR,1.59,1.59,,,
295,FINPROTECTION_CATA_TOT_10_POP,FPMOZ2008,PUBLISHED,2008,AFR,MOZ,TOTL,1.19,1.19,,,
296,FINPROTECTION_CATA_TOT_10_POP,FPMOZ2008,PUBLISHED,2008,AFR,MOZ,URB,1.09,1.09,,,
