,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,Display Value,Numeric,Low,High,Comments
4591,BP_06,PUBLISHED,1982,AMR,GRD,YEARS18-PLUS,FMLE,123.8 [116.3-131.0],123.8,116.3,131.0,
4592,BP_06,PUBLISHED,2005,AMR,GTM,YEARS18-PLUS,FMLE,119.0 [114.9-123.2],119.0,114.9,123.2,
4593,BP_06,PUBLISHED,1975,AFR,GNB,YEARS18-PLUS,FMLE,123.7 [112.8-134.8],123.7,112.8,134.8,
4594,BP_06,PUBLISHED,2002,AFR,GNB,YEARS18-PLUS,FMLE,128.7 [121.9-135.5],128.7,121.9,135.5,
4595,BP_06,PUBLISHED,2012,AMR,HTI,YEARS18-PLUS,FMLE,124.4 [115.9-132.5],124.4,115.9,132.5,
4596,BP_06,PUBLISHED,1995,EUR,HUN,YEARS18-PLUS,FMLE,129.7 [125.7-133.7],129.7,125.7,133.7,
4597,BP_06,PUBLISHED,1994,EUR,ISL,YEARS18-PLUS,FMLE,119.5 [116.0-123.0],119.5,116.0,123.0,
4598,BP_06,PUBLISHED,2013,SEAR,IND,YEARS18-PLUS,FMLE,124.4 [121.8-127.0],124.4,121.8,127.0,
4599,BP_06,PUBLISHED,1988,EMR,IRN,YEARS18-PLUS,FMLE,123.6 [119.9-127.3],123.6,119.9,127.3,
4600,BP_06,PUBLISHED,1999,EMR,IRN,YEARS18-PLUS,FMLE,121.7 [119.6-123.8],121.7,119.6,123.8,
4601,BP_06,PUBLISHED,1976,EUR,IRL,YEARS18-PLUS,FMLE,124.9 [116.6-133.6],124.9,116.6,133.6,
4602,BP_06,PUBLISHED,2009,EUR,ISR,YEARS18-PLUS,FMLE,118.9 [114.6-123.2],118.9,114.6,123.2,
4603,BP_06,PUBLISHED,2010,EMR,JOR,YEARS18-PLUS,FMLE,120.4 [116.7-124.1],120.4,116.7,124.1,
4604,BP_06,PUBLISHED,2007,EUR,KGZ,YEARS18-PLUS,FMLE,125.2 [120.9-129.6],125.2,120.9,129.6,
4605,BP_06,PUBLISHED,1993,EUR,LVA,YEARS18-PLUS,FMLE,130.0 [123.6-136.5],130.0,123.6,136.5,
4606,BP_06,PUBLISHED,1985,AFR,LBR,YEARS18-PLUS,FMLE,128.3 [121.5-135.3],128.3,121.5,135.3,
4607,BP_06,PUBLISHED,1994,EMR,LBY,YEARS18-PLUS,FMLE,131.6 [126.1-137.2],131.6,126.1,137.2,
4608,BP_06,PUBLISHED,2005,EMR,LBY,YEARS18-PLUS,FMLE,130.1 [125.8-134.5],130.1,125.8,134.5,
4609,BP_06,PUBLISHED,2004,EUR,LUX,YEARS18-PLUS,FMLE,123.5 [118.9-128.2],123.5,118.9,128.2,
4610,BP_06,PUBLISHED,1992,AFR,MDG,YEARS18-PLUS,FMLE,126.4 [120.0-132.7],126.4,120.0,132.7,
4611,BP_06,PUBLISHED,2015,AFR,MWI,YEARS18-PLUS,FMLE,132.5 [125.5-139.5],132.5,125.5,139.5,
4612,BP_06,PUBLISHED,2001,SEAR,MDV,YEARS18-PLUS,FMLE,122.5 [116.7-128.5],122.5,116.7,128.5,
4613,BP_06,PUBLISHED,2003,AFR,MLI,YEARS18-PLUS,FMLE,126.8 [121.2-132.2],126.8,121.2,132.2,
4614,BP_06,PUBLISHED,1997,AFR,MRT,YEARS18-PLUS,FMLE,129.3 [121.9-136.3],129.3,121.9,136.3,
4615,BP_06,PUBLISHED,1990,AMR,MEX,YEARS18-PLUS,FMLE,124.8 [121.1-128.5],124.8,121.1,128.5,
4616,BP_06,PUBLISHED,1988,AFR,ERI,YEARS18-PLUS,FMLE,119.5 [113.5-125.7],119.5,113.5,125.7,
4617,BP_06,PUBLISHED,1975,AFR,ETH,YEARS18-PLUS,FMLE,118.0 [109.2-126.7],118.0,109.2,126.7,
4618,BP_06,PUBLISHED,1984,WPR,FJI,YEARS18-PLUS,FMLE,123.4 [116.4-129.8],123.4,116.4,129.8,
4619,BP_06,PUBLISHED,1976,AFR,GAB,YEARS18-PLUS,FMLE,126.9 [116.5-136.8],126.9,116.5,136.8,
